PRECINCT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREUMCM,G16PREOOTH,Winner,Winner Votes
6273703283,392,281,38,6,9,1,G16PREDCLI,241248
6294203508,320,116,16,6,6,7,G16PREDCLI,241248
1260303133,343,504,53,1,5,0,G16PREDCLI,241248
6260303204,566,770,44,5,10,6,G16PREDCLI,241248
6263803149,332,673,36,5,5,4,G16PREDCLI,241248
6273703328,80,155,14,1,2,1,G16PREDCLI,241248
6295603329,708,812,81,15,18,8,G16PREDCLI,241248
6295603353,671,642,68,4,18,12,G16PREDCLI,241248
6273703239,412,302,32,14,16,7,G16PREDCLI,241248
6295603327,478,513,33,7,9,3,G16PREDCLI,241248
6273603337,522,441,83,13,13,12,G16PREDCLI,241248
6274003457,0,0,0,0,0,0,G16PREDCLI,241248
6264003258,133,95,19,2,5,3,G16PREDCLI,241248
6264003323,8,18,1,0,1,1,G16PREDCLI,241248
6270303246,538,307,39,5,13,3,G16PREDCLI,241248
6260303256,0,0,0,0,0,0,G16PREDCLI,241248
6264003453,256,217,7,3,2,4,G16PREDCLI,241248
6273703458,0,0,0,0,0,0,G16PREDCLI,241248
6260303127,49,28,5,1,0,0,G16PREDCLI,241248
6283603349,0,0,0,0,0,0,G16PREDCLI,241248
6270303252,707,461,38,7,17,3,G16PREDCLI,241248
6270303251,740,455,50,8,8,8,G16PREDCLI,241248
6273703282,601,464,55,6,23,8,G16PREDCLI,241248
6270303250,511,328,47,4,5,2,G16PREDCLI,241248
6270303247,762,427,71,17,9,12,G16PREDCLI,241248
6273703367,446,487,57,12,17,9,G16PREDCLI,241248
6273703259,660,509,88,15,29,7,G16PREDCLI,241248
6295603354,518,669,73,14,18,8,G16PREDCLI,241248
6285603352,854,775,90,14,14,10,G16PREDCLI,241248
6273703257,519,419,32,5,6,5,G16PREDCLI,241248
6283603370,602,439,61,12,10,11,G16PREDCLI,241248
6283603371,411,304,20,5,3,3,G16PREDCLI,241248
6285603373,606,643,75,6,22,11,G16PREDCLI,241248
6273703284,266,237,33,7,4,2,G16PREDCLI,241248
